,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,25,3,226802,5,1,6,3,2,1,0,0,40,38,0
1,38,3,89814,3,0,4,0,4,1,0,0,50,38,0
2,28,1,336951,1,0,10,0,4,1,0,0,40,38,1
3,44,3,160323,1,0,6,0,2,1,7688,0,40,38,1
4,18,8,103497,1,1,14,3,4,0,0,0,30,38,0
5,34,3,198693,5,1,7,1,4,1,0,0,30,38,0
6,29,8,227026,3,1,14,4,2,1,0,0,40,38,0
7,63,5,104626,4,0,9,0,4,1,3103,0,32,38,1
8,24,3,369667,1,1,7,4,4,0,0,0,40,38,0
9,55,3,104996,5,0,2,0,4,1,0,0,10,38,0
10,65,3,184454,3,0,6,0,4,1,6418,0,40,38,1
11,36,0,212465,0,0,0,0,4,1,0,0,40,38,0
12,26,3,82091,3,1,0,1,4,0,0,0,39,38,0
13,58,8,299831,3,0,14,0,4,1,0,0,35,38,0
14,48,3,279724,3,0,6,0,4,1,3103,0,48,38,1
15,43,3,346189,4,0,3,0,4,1,0,0,50,38,1
16,20,6,444554,1,1,7,3,4,1,0,0,25,38,0
17,43,3,128354,3,0,0,5,4,0,0,0,30,38,0
18,37,3,60548,3,3,6,4,4,0,0,0,20,38,0
19,40,3,85019,2,0,9,0,1,1,0,0,45,41,1
20,34,3,107914,0,0,12,0,4,1,0,0,47,38,1
21,34,3,238588,1,1,7,3,2,0,0,0,35,38,0
22,72,8,132015,5,2,14,1,4,0,0,0,6,38,0
23,25,3,220931,0,1,9,1,4,1,0,0,43,28,0
24,25,3,205947,0,0,9,0,4,1,0,0,40,38,0
25,45,5,432824,3,0,2,0,4,1,7298,0,90,38,1
26,22,3,236427,3,1,0,3,4,1,0,0,20,38,0
27,23,3,134446,3,2,6,4,2,1,0,0,54,38,0
28,54,3,99516,3,0,2,0,4,1,0,0,35,38,0
29,32,5,109282,1,1,9,1,4,1,0,0,60,38,0
30,46,6,106444,1,0,3,0,2,1,7688,0,38,38,1
31,56,5,186651,5,3,7,4,4,0,0,0,50,38,0
32,24,5,188274,0,1,11,1,4,1,0,0,50,38,0
33,23,1,258120,1,0,10,0,4,1,0,0,40,38,0
34,26,3,43311,3,2,3,4,4,0,0,0,40,38,0
35,65,8,191846,3,0,14,0,4,1,0,0,40,38,0
36,36,1,403681,0,0,9,0,4,1,0,0,40,38,1
37,22,3,248446,5,1,8,1,4,1,0,0,50,12,0
38,17,3,269430,5,1,6,1,4,1,0,0,40,38,0
39,20,3,257509,3,1,2,3,4,1,0,0,40,38,0
40,65,3,136384,4,0,9,0,4,1,0,0,50,38,1
41,44,4,120277,1,0,11,0,4,1,0,0,45,38,1
42,36,3,465326,3,0,4,0,4,1,0,0,40,38,0
43,29,3,103634,5,0,7,0,4,1,0,0,40,38,0
44,20,6,138371,1,1,4,3,4,1,0,0,32,38,0
45,28,3,242832,1,0,9,5,4,0,0,0,36,38,1
46,39,3,290208,5,0,2,0,4,1,0,0,40,25,0
47,54,3,186272,1,0,13,0,4,1,3908,0,50,38,0
48,52,3,201062,5,2,8,1,2,0,0,0,18,38,0
49,56,4,131916,3,3,3,1,4,0,0,0,50,38,0
50,18,3,54440,1,1,7,3,4,1,0,0,20,38,0
51,39,3,280215,3,2,5,3,2,1,0,0,40,38,0
52,21,3,214399,1,1,7,3,4,0,0,1721,24,38,0
53,22,3,54164,3,1,7,1,4,1,14084,0,60,38,1
54,38,3,219446,5,1,3,1,4,1,0,0,54,25,0
55,21,3,110677,1,1,0,3,4,0,0,0,40,38,0
56,63,3,145985,3,0,2,0,4,1,0,0,40,38,0
57,34,1,382078,0,0,3,0,4,1,3103,0,50,38,1
58,42,4,170721,3,0,3,0,4,1,5178,0,50,38,1
59,33,3,269705,3,0,5,0,4,1,0,0,40,38,0
60,30,3,101135,0,1,3,1,4,0,0,0,50,38,0
61,39,3,118429,1,2,11,1,4,1,0,0,40,38,0
62,26,3,31208,4,1,3,1,4,0,0,0,40,38,0
63,33,3,281384,3,1,6,3,4,0,0,0,40,38,0
64,47,1,171807,3,2,0,1,4,0,0,0,40,38,0
65,41,3,109912,0,1,7,1,4,0,0,0,40,41,0
66,41,4,445382,1,0,2,0,4,1,15024,0,60,38,1
67,19,3,105460,1,1,7,3,4,1,0,0,20,38,0
68,46,3,170338,3,2,13,1,4,1,0,0,40,38,0
69,43,3,102606,3,0,11,0,4,1,0,0,48,38,0
70,55,3,323887,1,0,3,0,4,1,15024,0,45,38,1
71,46,3,175622,1,0,12,0,4,1,0,0,40,38,0
72,30,3,229636,3,0,6,0,4,1,0,0,40,25,0
73,21,3,388946,1,2,5,1,4,0,0,0,40,38,0
74,46,3,269034,1,0,2,0,3,1,0,0,40,5,0
75,17,8,165361,5,1,14,3,4,1,0,0,40,38,0
76,41,3,75012,3,0,6,0,4,1,0,0,50,38,0
77,69,4,174379,3,0,11,0,4,1,0,0,30,38,0
78,50,3,312477,3,0,13,0,4,1,0,0,40,38,0
79,20,3,72055,1,1,0,1,4,0,0,0,40,38,0
80,45,4,67001,1,0,6,0,4,1,0,0,50,38,0
81,23,3,213734,0,1,3,1,4,1,0,0,40,38,0
82,24,3,83141,1,2,7,1,4,1,0,1876,40,38,0
83,44,4,223881,3,0,2,0,4,1,99999,0,50,41,1
84,31,5,113752,1,0,2,0,4,1,0,0,50,38,0
85,43,3,170482,3,2,6,1,4,0,0,0,44,38,0
86,20,0,244689,5,1,7,3,4,0,0,0,10,38,0
87,55,3,160631,3,0,11,0,4,1,0,0,56,38,1
88,24,0,228724,1,1,1,1,4,1,0,0,40,38,0
89,41,8,38434,4,0,14,5,4,0,7688,0,10,38,1
90,59,3,292946,0,1,3,1,4,0,0,0,25,38,0
91,49,0,77443,5,1,7,1,2,1,0,0,20,38,0
92,33,3,176410,4,0,9,5,4,0,5178,0,10,38,1
93,59,0,98984,0,2,0,1,4,1,0,0,40,38,0
94,34,3,198751,4,1,7,1,0,1,0,0,40,38,0
95,20,3,479296,3,1,5,3,4,1,0,0,40,38,0
96,25,3,235218,0,1,3,3,4,0,0,0,40,38,0
97,49,3,164877,5,0,4,0,4,1,0,0,40,38,0
98,59,3,272087,3,0,13,0,4,1,0,0,40,38,1
99,20,3,169699,3,1,0,1,4,0,0,0,40,38,0
100,51,8,189762,1,0,14,5,4,0,0,0,18,38,0
101,33,3,202191,1,1,0,4,2,0,0,0,35,38,0
102,22,3,212261,1,1,13,3,2,1,0,0,39,38,0
103,58,5,301568,5,3,7,1,4,0,0,0,40,38,0
104,52,1,155233,3,3,0,4,4,0,0,0,28,38,0
105,36,3,75826,5,2,6,1,4,0,0,0,40,38,0
106,41,1,201520,3,0,10,0,4,1,0,0,40,38,0
107,28,3,154236,3,1,13,3,4,1,2597,0,40,38,0
108,19,3,289227,1,1,5,3,2,1,0,0,16,38,0
109,18,3,217439,3,1,7,1,4,0,0,0,28,38,0
110,18,3,179020,3,1,6,3,4,0,0,0,48,38,0
111,28,3,149624,1,0,2,0,4,1,0,0,40,38,0
112,29,3,337266,1,0,3,0,4,1,0,0,40,38,1
113,20,8,30796,3,1,14,3,4,0,0,0,20,38,0
114,40,3,103541,1,0,5,0,4,1,0,0,40,38,0
115,26,3,206721,3,1,5,4,4,1,0,0,40,38,0
116,46,3,96773,3,0,2,0,4,1,0,0,40,38,0
117,23,3,200967,5,1,7,1,4,0,0,0,24,38,0
