,deposit,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
6174,no,44,services,married,secondary,no,850,no,yes,cellular,16,jul,220,5,-1,0,unknown
476,yes,32,blue-collar,married,secondary,no,1905,yes,no,cellular,16,jul,709,2,-1,0,unknown
5446,no,74,retired,divorced,primary,no,166,no,no,cellular,13,aug,99,1,-1,0,unknown
9802,no,28,technician,married,secondary,no,655,yes,no,unknown,9,may,179,2,-1,0,unknown
6556,no,47,blue-collar,married,primary,no,475,yes,yes,cellular,29,jan,99,2,251,7,other
7898,no,49,management,married,tertiary,no,3842,no,no,cellular,5,apr,163,1,186,3,failure
2309,yes,25,services,single,tertiary,no,12,no,no,cellular,12,jun,126,6,-1,0,unknown
7780,no,32,technician,divorced,secondary,no,211,yes,yes,unknown,29,may,230,4,-1,0,unknown
7137,no,57,entrepreneur,married,unknown,no,975,yes,yes,cellular,22,jul,236,4,-1,0,unknown
10573,no,44,admin.,single,secondary,no,985,yes,yes,cellular,11,may,9,7,325,19,failure
2031,yes,39,admin.,divorced,secondary,no,878,yes,no,cellular,15,may,611,5,-1,0,unknown
7976,no,32,technician,single,secondary,no,1307,yes,no,unknown,28,may,267,2,-1,0,unknown
409,yes,26,technician,married,secondary,no,-119,no,yes,cellular,9,jul,359,5,-1,0,unknown
2177,yes,43,management,married,tertiary,no,1059,no,yes,cellular,1,jun,335,2,-1,0,unknown
391,yes,33,entrepreneur,divorced,tertiary,no,37,no,yes,cellular,8,jul,1082,1,-1,0,unknown
10366,no,51,management,married,tertiary,no,0,yes,yes,unknown,29,may,410,5,-1,0,unknown
4154,yes,27,blue-collar,single,secondary,no,294,yes,yes,unknown,28,may,694,2,-1,0,unknown
2391,yes,27,student,single,secondary,no,111,no,no,cellular,7,jul,495,2,-1,0,unknown
4952,yes,36,technician,married,tertiary,no,521,no,no,cellular,20,oct,347,3,-1,0,unknown
8713,no,35,technician,single,secondary,no,4645,yes,no,cellular,11,jan,502,3,270,40,other
5759,no,33,technician,married,tertiary,no,8023,no,no,cellular,30,nov,107,1,105,3,failure
3388,yes,19,student,single,secondary,no,394,no,no,cellular,5,apr,327,3,-1,0,unknown
11015,no,41,management,married,tertiary,no,141,yes,yes,unknown,8,may,146,3,-1,0,unknown
10854,no,45,management,divorced,tertiary,no,2813,yes,no,cellular,13,may,43,1,-1,0,unknown
1825,yes,35,management,married,tertiary,no,802,yes,no,cellular,6,may,686,2,-1,0,unknown
7475,no,48,management,married,tertiary,yes,0,no,yes,cellular,9,feb,18,8,-1,0,unknown
2482,yes,46,management,married,tertiary,no,1600,yes,yes,cellular,11,aug,1244,1,-1,0,unknown
6192,no,31,management,married,tertiary,no,1164,yes,yes,cellular,18,jul,238,3,-1,0,unknown
2427,yes,49,admin.,divorced,secondary,no,1718,no,yes,cellular,5,aug,211,1,-1,0,unknown
3229,yes,58,admin.,married,secondary,no,169,no,no,cellular,15,feb,216,1,91,4,success
8465,no,57,entrepreneur,married,primary,no,1153,yes,yes,unknown,9,jun,238,6,-1,0,unknown
7714,no,32,management,divorced,tertiary,no,787,yes,no,cellular,11,aug,72,2,-1,0,unknown
6433,no,54,management,married,tertiary,no,0,no,yes,cellular,19,nov,307,3,-1,0,unknown
7442,no,43,admin.,married,secondary,no,323,yes,yes,cellular,12,may,43,3,369,2,failure
7452,no,45,technician,married,secondary,no,1412,yes,no,cellular,11,may,764,4,-1,0,unknown
6787,no,40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown
81,yes,37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,-1,0,unknown
10299,no,39,management,married,tertiary,no,309,no,no,cellular,26,aug,94,14,-1,0,unknown
1864,yes,59,retired,married,tertiary,no,148,yes,yes,cellular,8,may,685,2,366,1,other
9382,no,48,management,married,tertiary,no,7867,yes,yes,unknown,30,may,306,3,-1,0,unknown
