,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default
13478,30000.0,1,2,3,43,2,2,2,2,2,2,14870.0,16327.0,16762.0,17182.0,17760.0,17327.0,2000.0,1000.0,1000.0,1000.0,0.0,1000.0,1
1995,180000.0,2,1,2,43,-2,-1,-1,-1,0,-1,8657.0,6847.0,18762.0,22928.0,3129.0,2398.0,6847.0,18762.0,22928.0,0.0,2398.0,23149.0,0
5891,150000.0,1,2,1,40,0,0,0,0,0,0,141697.0,144833.0,137737.0,140047.0,144557.0,133716.0,7000.0,7000.0,6000.0,7000.0,5021.0,9000.0,0
15261,360000.0,2,1,1,38,-1,-1,-1,-1,-1,0,1873.0,13532.0,5757.0,28974.0,8093.0,3250.0,13537.0,5762.0,29000.0,8093.0,1500.0,3513.0,0
14204,30000.0,2,1,2,24,0,-1,2,-1,0,0,2880.0,3285.0,2280.0,248.0,248.0,-150.0,3285.0,0.0,248.0,0.0,0.0,0.0,1
17707,90000.0,2,1,2,33,0,0,2,0,0,0,92725.0,94908.0,89711.0,91165.0,72263.0,72569.0,8500.0,0.0,4086.0,2600.0,3000.0,3000.0,0
4749,50000.0,1,2,1,58,-1,-1,-1,-1,-1,-1,1956.0,2060.0,4904.0,2056.0,2515.0,1464.0,2060.0,4904.0,2056.0,2515.0,1464.0,1515.0,0
29451,10000.0,1,2,2,29,2,2,0,0,2,2,5948.0,5716.0,7132.0,8477.0,8292.0,9861.0,0.0,1500.0,1500.0,0.0,1604.0,212.0,1
7443,170000.0,1,3,2,26,2,0,0,0,0,0,74453.0,66087.0,60649.0,61408.0,59390.0,57037.0,5020.0,3003.0,3009.0,2013.0,3041.0,3000.0,1
10424,140000.0,2,2,2,32,2,2,2,3,2,2,76187.0,84734.0,91142.0,88800.0,90750.0,88591.0,9834.0,8742.0,0.0,3500.0,0.0,3100.0,1
23278,150000.0,2,2,1,49,-1,-1,-1,-1,-1,-1,575.0,25622.0,4992.0,1578.0,1216.0,4475.0,25622.0,4992.0,1578.0,1216.0,4475.0,15964.0,0
28865,400000.0,2,2,2,36,0,0,0,0,0,0,69376.0,61204.0,50773.0,39676.0,30680.0,27761.0,2255.0,1421.0,1381.0,770.0,731.0,600.0,0
19683,80000.0,2,3,1,46,0,0,-1,2,-1,-1,25505.0,14696.0,1278.0,1107.0,16634.0,2136.0,1000.0,2278.0,0.0,17000.0,2500.0,0.0,1
17687,70000.0,2,1,1,35,2,2,2,2,2,2,51143.0,53185.0,55030.0,56530.0,55027.0,58461.0,3500.0,3300.0,3000.0,0.0,4500.0,2500.0,1
16208,360000.0,2,1,1,35,-2,-1,0,-1,-1,-1,94657.0,34529.0,106276.0,73331.0,7759.0,31840.0,45000.0,100000.0,73427.0,7759.0,31840.0,12577.0,1
19035,50000.0,2,2,1,41,1,2,2,2,2,2,24540.0,25330.0,26620.0,26889.0,26158.0,27737.0,1500.0,2000.0,1000.0,0.0,2000.0,0.0,1
17546,50000.0,2,3,1,42,2,0,0,0,2,2,31422.0,32420.0,33462.0,36199.0,36803.0,37566.0,1521.0,1563.0,3300.0,1500.0,1500.0,1600.0,1
18503,50000.0,2,3,1,24,0,0,0,0,0,-2,27172.0,28078.0,21165.0,1515.0,0.0,0.0,1390.0,1650.0,1000.0,0.0,0.0,0.0,0
19234,150000.0,2,1,2,37,1,-2,-1,-1,-1,-2,0.0,0.0,689.0,2943.0,-6159.0,-6159.0,0.0,689.0,2943.0,0.0,0.0,16007.0,0
