,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group,loan_to_income_ratio,loan_to_emp_length_ratio,int_rate_to_loan_amt_ratio
1285,21,34000,RENT,5.0,HOMEIMPROVEMENT,B,1200,12.69,1,0.04,N,4,20-25,low-middle,small,0.03529411764705882,0.004166666666666667,0.010575
10353,24,84996,RENT,3.0,HOMEIMPROVEMENT,D,10000,15.21,0,0.12,N,4,20-25,high-middle,medium,0.11765259541625488,0.0003,0.001521
27628,45,33600,OWN,14.0,VENTURE,A,4000,6.39,0,0.12,N,11,36-45,low-middle,small,0.11904761904761904,0.0035,0.0015975
18852,29,48000,MORTGAGE,8.0,VENTURE,A,4500,5.42,0,0.09,N,6,26-35,low-middle,small,0.09375,0.0017777777777777779,0.0012044444444444444
921,23,87550,RENT,7.0,MEDICAL,A,18000,7.51,1,0.17,N,3,20-25,high-middle,very large,0.20559680182752713,0.00038888888888888887,0.0004172222222222222
26010,36,32000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,12000,10.37,0,0.38,N,11,26-35,low-middle,large,0.375,0.0005,0.0008641666666666666
18885,32,48000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,5200,5.42,0,0.11,N,5,26-35,low-middle,medium,0.10833333333333334,0.0015384615384615385,0.0010423076923076922
12582,25,113000,RENT,8.0,DEBTCONSOLIDATION,B,14400,11.71,1,0.13,N,4,20-25,high,large,0.12743362831858407,0.0005555555555555556,0.0008131944444444445
46,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,20-25,middle,very large,0.45248868778280543,0.00013333333333333334,0.000423
20235,27,36672,RENT,11.0,PERSONAL,A,8000,7.9,1,0.22,N,9,26-35,low-middle,medium,0.2181500872600349,0.001375,0.0009875
7724,24,40000,RENT,4.0,MEDICAL,B,8000,9.63,0,0.2,N,3,20-25,low-middle,medium,0.2,0.0005,0.0012037500000000002
10237,24,75000,RENT,8.0,PERSONAL,B,10000,9.91,0,0.13,N,3,20-25,middle,medium,0.13333333333333333,0.0008,0.000991
17302,30,26400,RENT,14.0,DEBTCONSOLIDATION,C,3250,14.35,1,0.12,N,9,26-35,low-middle,small,0.12310606060606061,0.0043076923076923075,0.004415384615384615
12593,25,30000,RENT,0.0,VENTURE,D,14500,14.42,1,0.48,N,4,20-25,low-middle,large,0.48333333333333334,0.0,0.0009944827586206896
17977,30,34000,MORTGAGE,14.0,VENTURE,D,6000,14.96,1,0.18,Y,6,26-35,low-middle,medium,0.17647058823529413,0.0023333333333333335,0.0024933333333333335
943,24,72250,RENT,5.0,MEDICAL,E,17600,17.19,1,0.21,Y,4,20-25,middle,very large,0.24359861591695503,0.0002840909090909091,0.0009767045454545456
5838,22,52800,RENT,6.0,EDUCATION,C,6000,11.97,1,0.11,N,2,20-25,middle,medium,0.11363636363636363,0.001,0.0019950000000000002
5879,23,50000,MORTGAGE,4.0,EDUCATION,B,20000,10.62,0,0.4,N,4,20-25,low-middle,very large,0.4,0.0002,0.000531
25700,38,175000,MORTGAGE,10.0,EDUCATION,B,21000,9.99,0,0.12,N,14,36-45,high,very large,0.12,0.0004761904761904762,0.00047571428571428575
17436,29,42000,RENT,0.0,MEDICAL,B,11000,10.38,0,0.26,N,10,26-35,low-middle,large,0.2619047619047619,0.0,0.0009436363636363637
13550,24,135000,MORTGAGE,8.0,VENTURE,A,5225,7.49,0,0.04,N,3,20-25,high,medium,0.038703703703703705,0.0015311004784688996,0.0014334928229665072
2100,23,112995,RENT,7.0,VENTURE,A,2500,7.37,0,0.02,N,3,20-25,high,small,0.022124872781981504,0.0028,0.002948
28395,62,68375,RENT,4.0,MEDICAL,C,24250,12.73,1,0.35,N,28,56-65,middle,very large,0.3546617915904936,0.00016494845360824742,0.0005249484536082474
14379,25,69900,MORTGAGE,9.0,DEBTCONSOLIDATION,A,5050,5.42,0,0.07,N,3,20-25,middle,medium,0.07224606580829757,0.0017821782178217822,0.0010732673267326732
1195,26,26004,MORTGAGE,2.0,HOMEIMPROVEMENT,B,10000,11.14,0,0.38,N,3,20-25,low-middle,medium,0.3845562221196739,0.0002,0.001114
12662,26,35000,RENT,7.0,MEDICAL,B,14575,10.65,1,0.42,N,3,20-25,low-middle,large,0.4164285714285714,0.0004802744425385935,0.0007307032590051459
644,26,70000,RENT,7.0,DEBTCONSOLIDATION,C,20000,13.16,1,0.29,N,3,20-25,middle,very large,0.2857142857142857,0.00035,0.0006580000000000001
14776,23,35976,RENT,3.0,VENTURE,B,15000,10.25,1,0.42,N,3,20-25,low-middle,large,0.41694462975316876,0.0002,0.0006833333333333333
13405,25,97750,OWN,9.0,MEDICAL,E,20000,17.39,1,0.17,Y,3,20-25,high-middle,very large,0.20460358056265984,0.00045,0.0008695
14509,23,29120,OWN,0.0,MEDICAL,A,6400,8.94,0,0.22,N,4,20-25,low-middle,medium,0.21978021978021978,0.0,0.001396875
1738,22,32000,RENT,7.0,EDUCATION,C,14000,12.23,1,0.44,N,3,20-25,low-middle,large,0.4375,0.0005,0.0008735714285714286
24082,33,135000,MORTGAGE,0.0,VENTURE,A,10000,7.51,0,0.07,N,10,26-35,high,medium,0.07407407407407407,0.0,0.0007509999999999999
17650,28,19200,RENT,0.0,DEBTCONSOLIDATION,B,4000,12.69,1,0.21,N,8,26-35,low,small,0.20833333333333334,0.0,0.0031725
1461,21,9600,RENT,0.0,EDUCATION,A,1750,8.94,1,0.18,N,2,20-25,low,small,0.18229166666666666,0.0,0.0051085714285714285
14517,21,52000,RENT,5.0,PERSONAL,B,1500,11.99,0,0.03,N,2,20-25,middle,small,0.028846153846153848,0.0033333333333333335,0.007993333333333333
