,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group,loan_to_income_ratio,loan_to_emp_length_ratio,int_rate_to_loan_amt_ratio
0,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,20-25,low,small,0.10416666666666667,0.005,0.01114
1,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,20-25,low,medium,0.5729166666666666,0.0001818181818181818,0.00234
2,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,20-25,middle,very large,0.5343511450381679,0.00011428571428571428,0.00043514285714285714
3,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,20-25,middle,very large,0.6433823529411765,0.00022857142857142857,0.0004077142857142857
4,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,20-25,low,small,0.25252525252525254,0.0008,0.002856
5,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,20-25,high-middle,very large,0.45395590142671854,0.00022857142857142857,0.00035485714285714287
6,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,20-25,high-middle,very large,0.44328486752115104,0.00014285714285714287,0.0003174285714285714
7,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,20-25,high-middle,very large,0.42168674698795183,0.00022857142857142857,0.00025428571428571427
8,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,20-25,low,small,0.16,0.00375,0.0092125
9,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,20-25,high-middle,very large,0.4117647058823529,0.00017142857142857143,0.00029628571428571426
10,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,20-25,low,small,0.45,0.00044444444444444447,0.001917777777777778
11,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,20-25,high-middle,very large,0.3684210526315789,5.714285714285714e-05,0.00022571428571428571
12,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,20-25,high,very large,0.323594674556213,0.00011428571428571428,0.0005254285714285714
13,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,20-25,high,very large,0.30434782608695654,5.714285714285714e-05,0.00022571428571428571
14,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,20-25,high,very large,0.06,0.00023333333333333333,0.000355
15,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,20-25,high,very large,0.2916666666666667,0.0,0.00022571428571428571
16,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,20-25,high-middle,very large,0.3799763329026935,0.0002,0.0005785714285714286
17,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,20-25,high,very large,0.30973451327433627,0.00022857142857142857,0.0005214285714285714
